name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
gcc_coreutils_64_O2_sort,benign,clean,61001,66684,0.275700,0.001429,0.001429,0.275700,0.001429,0.001429,packed,packed,benign,benign,0.658022,0.065909,0.657654,0.946991,453.689048,453.397712,799.724147
icc_coreutils_64_O0_stat,benign,clean,61134,69752,0.285962,0.002506,0.002506,0.002506,0.002506,0.002506,benign,benign,benign,benign,0.810299,0.085764,0.810299,1.043274,396.741628,396.741628,700.661040
icc_coreutils_64_O2_unlink,benign,clean,14590,15964,0.276971,0.003576,0.003576,0.003576,0.003576,0.003576,benign,benign,benign,benign,0.689159,0.094479,0.689159,0.974260,469.580066,469.580066,790.200882
gcc_coreutils_64_O2_runcon,benign,clean,15837,17468,0.279409,0.003529,0.003529,0.003529,0.003529,0.003529,benign,benign,benign,benign,0.666872,0.078084,0.666872,0.945128,496.933391,496.933391,814.766259
icc_coreutils_64_O2_chroot,benign,clean,17356,19116,0.280767,0.002187,0.002187,0.002187,0.002187,0.002187,benign,benign,benign,benign,0.688354,0.077683,0.688354,0.967842,487.467825,487.467825,808.206695
icc_coreutils_64_O1_sha384sum,benign,clean,33619,36204,0.281954,0.001401,0.001401,0.281954,0.001401,0.001401,packed,packed,benign,benign,0.575200,0.040413,0.575181,0.864509,425.368039,425.352217,801.890178
icc_coreutils_64_O1_shred,benign,clean,26752,28860,0.273512,0.001874,0.001874,0.273512,0.001874,0.001874,packed,packed,benign,benign,0.608171,0.034506,0.607550,0.903403,438.982354,438.458649,805.627574
icc_coreutils_64_O3_touch,benign,clean,42929,47004,0.261408,0.002872,0.002872,0.002872,0.002872,0.002872,benign,benign,benign,benign,0.664198,0.103811,0.664198,0.952962,450.177867,450.177867,789.015243
desync_coreutils_64_O0_logname,obfuscated,pilot,37038,40418,0.293077,0.051452,0.028799,0.051452,0.028799,0.028799,benign,benign,obfuscated,obfuscated,21.961265,0.159419,21.961265,22.255730,753.869070,753.869070,1089.241538
desync_coreutils_64_O0_logname,obfuscated,d1_med,50633,55506,0.292240,0.065805,0.016248,0.292240,0.016248,0.016248,packed,packed,obfuscated,obfuscated,28.924116,0.181606,28.924108,29.214536,824.920098,824.909580,1160.886900
desync_coreutils_64_O0_logname,obfuscated,d2_heavy,118573,128978,0.277888,0.100661,0.017485,0.277888,0.017485,0.017485,packed,packed,obfuscated,obfuscated,43.923278,0.208761,43.923082,44.213087,986.062881,985.897852,1323.490769
desync_coreutils_64_O0_logname,obfuscated,d3_max,126777,137666,0.254936,0.124241,0.040921,0.254936,0.040921,0.040921,packed,packed,obfuscated,obfuscated,45.511459,0.220661,45.502274,45.807532,1036.754097,1029.302194,1371.691896
desync_coreutils_64_O0_runcon,obfuscated,pilot,39491,43106,0.292928,0.052355,0.027261,0.052355,0.027261,0.027261,benign,benign,obfuscated,obfuscated,21.956092,0.163940,21.956092,22.249865,756.564728,756.564728,1089.294619
desync_coreutils_64_O0_runcon,obfuscated,d1_med,54456,59650,0.292511,0.067471,0.016576,0.292511,0.016576,0.016576,packed,packed,obfuscated,obfuscated,27.475238,0.166264,27.475236,27.770040,826.707929,826.705853,1159.093038
desync_coreutils_64_O0_runcon,obfuscated,d2_heavy,127801,138994,0.278480,0.101281,0.018158,0.278480,0.018158,0.018158,packed,packed,obfuscated,obfuscated,44.900905,0.210707,44.900642,45.185437,996.262847,996.028802,1333.817261
desync_coreutils_64_O0_runcon,obfuscated,d3_max,136665,148386,0.255303,0.122931,0.039955,0.255303,0.039955,0.039955,packed,packed,obfuscated,obfuscated,43.699582,0.219939,43.689623,43.999183,1019.312924,1012.739743,1353.190976
desync_coreutils_64_O0_make-prime-list,obfuscated,d1_med,6494,7128,0.295504,0.060176,0.021762,0.060176,0.021762,0.021762,benign,benign,obfuscated,obfuscated,31.312056,0.194377,31.312056,31.599521,850.988183,850.988183,1190.379278
desync_coreutils_64_O0_make-prime-list,obfuscated,d2_heavy,14593,15816,0.277393,0.105239,0.036873,0.277393,0.036873,0.036873,packed,packed,obfuscated,obfuscated,17.277686,0.226995,17.277664,17.557312,1087.248712,1087.228039,1421.349344
desync_coreutils_64_O0_make-prime-list,obfuscated,d3_max,16435,17816,0.249407,0.125543,0.044468,0.249407,0.044468,0.044468,packed,packed,obfuscated,obfuscated,23.662645,0.221888,18.747584,46.667377,1043.500573,1033.279190,1377.390878
desync_coreutils_64_O0_factor,obfuscated,pilot,176711,194018,0.291063,0.050558,0.026650,0.050558,0.026650,0.026650,benign,benign,obfuscated,obfuscated,25.781015,0.180687,25.781015,26.056148,748.693273,748.693273,1087.444588
desync_coreutils_64_O0_od,obfuscated,pilot,184624,203442,0.276253,0.050549,0.025228,0.050549,0.025228,0.025228,benign,benign,obfuscated,obfuscated,21.196562,0.179429,21.196562,21.464445,735.483621,735.483621,1056.392349
desync_coreutils_64_O0_env,obfuscated,pilot,55432,60866,0.290266,0.051258,0.026737,0.051258,0.026737,0.026737,benign,benign,obfuscated,obfuscated,24.678791,0.169004,24.678791,24.961368,775.025339,775.025339,1111.604421
desync_coreutils_64_O0_env,obfuscated,d1_med,76197,83650,0.290353,0.068243,0.012490,0.290353,0.012490,0.012490,packed,packed,obfuscated,obfuscated,32.597818,0.188725,32.597816,32.874461,847.991722,847.989988,1185.557176
desync_coreutils_64_O0_ln,obfuscated,pilot,97707,107522,0.290399,0.052484,0.025109,0.052484,0.025109,0.025109,benign,benign,obfuscated,obfuscated,26.923179,0.183808,26.923179,27.197869,786.353262,786.353262,1122.417831
desync_coreutils_64_O0_ln,obfuscated,d1_med,131592,145266,0.289243,0.068581,0.012016,0.289243,0.012016,0.012016,packed,packed,obfuscated,obfuscated,33.095440,0.185873,33.095439,33.378359,870.496783,870.494487,1204.421968
desync_coreutils_64_O0_nl,obfuscated,pilot,50635,55170,0.290629,0.054781,0.024716,0.054781,0.024716,0.024716,benign,benign,obfuscated,obfuscated,23.638695,0.167948,23.638695,23.927300,778.861340,778.861340,1114.915063
desync_coreutils_64_O0_nl,obfuscated,d1_med,69168,75714,0.290221,0.068723,0.013906,0.290221,0.013906,0.013906,packed,packed,obfuscated,obfuscated,32.189135,0.187996,32.189132,32.479432,863.689024,863.685459,1201.330018
desync_coreutils_64_O0_vdir,obfuscated,pilot,209495,229506,0.288250,0.049946,0.027956,0.288250,0.027956,0.027956,packed,packed,obfuscated,obfuscated,23.526381,0.177014,23.526379,23.804294,740.079163,740.078027,1071.867931
desync_coreutils_64_O0_pr,obfuscated,pilot,107648,117730,0.288579,0.050625,0.027458,0.288579,0.027458,0.027458,packed,packed,obfuscated,obfuscated,23.701647,0.183605,23.701647,23.980919,754.227455,754.227264,1081.921779
desync_coreutils_64_O0_nproc,obfuscated,pilot,41554,45218,0.293377,0.051022,0.028693,0.051022,0.028693,0.028693,benign,packed,obfuscated,obfuscated,23.463287,0.173784,23.463287,23.756998,785.755492,785.755492,1122.865395
desync_coreutils_64_O0_nproc,obfuscated,d1_med,56992,62370,0.292602,0.067783,0.014541,0.292602,0.014541,0.014541,packed,packed,obfuscated,obfuscated,31.657690,0.190140,31.657687,31.939959,851.523500,851.520094,1186.102358
desync_coreutils_64_O0_nproc,obfuscated,d2_heavy,132209,143730,0.278816,0.101626,0.018183,0.278816,0.018183,0.018183,packed,packed,obfuscated,obfuscated,45.523798,0.215742,45.523568,45.810057,1004.118462,1003.904230,1341.921082
desync_coreutils_64_O0_nproc,obfuscated,d3_max,141563,153698,0.255434,0.123202,0.039788,0.255434,0.039788,0.039788,packed,packed,obfuscated,obfuscated,43.605798,0.221079,43.597000,43.903792,1013.300702,1006.063960,1347.779516
dir_upx_nrv__nrv,packed,nrv,43661,50858,0.000000,0.357475,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,0.996939,0.196423,0.745745,1.102013,361.919855,208.272238,435.534744
ls_upx_nrv__nrv,packed,nrv,43653,50858,0.000000,0.357658,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,0.997579,0.196491,0.746435,1.102588,361.992940,208.440537,435.509733
sha256sum_upx_nrv__nrv,packed,nrv,19523,22650,0.000000,0.364428,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,1.170643,0.204099,0.905190,1.286869,419.808884,257.907488,505.752326
base64_upx_nrv__nrv,packed,nrv,16654,19498,0.000000,0.363220,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,1.078340,0.200008,0.818532,1.191517,407.758890,244.179483,489.248442
sha256sum_upx_lzma__lzma,packed,lzma,18307,20955,0.000000,0.376896,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,1.132377,0.187630,0.830048,1.246275,413.338629,225.374797,492.981036
du_upx_nrv__nrv,packed,nrv,41659,48434,0.000000,0.362906,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,1.052156,0.210597,0.785039,1.160246,385.828442,226.925834,465.109865
base64_upx_lzma__lzma,packed,lzma,16137,18443,0.000000,0.371134,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,1.083181,0.185167,0.799444,1.197895,371.939096,198.190738,453.216961
dir_upx_lzma__lzma,packed,lzma,38341,43939,0.000000,0.375994,0.000000,0.000000,0.000000,0.000000,packed,packed,packed,packed,0.981954,0.184954,0.686400,1.093642,373.841309,182.544751,452.122930
p02_insertsort,obfuscated,tigL,2413,2641,0.227932,0.015877,0.080311,0.015877,0.227932,0.227932,benign,benign,packed,packed,0.424734,0.182646,0.424734,0.693000,255.506432,255.506432,606.501437
p02_insertsort,obfuscated,tigM,515,561,0.314563,0.018995,0.103467,0.018995,0.314563,0.314563,benign,benign,packed,packed,0.381289,0.204437,0.381289,0.540837,114.047476,114.047476,302.517925
p02_insertsort,obfuscated,tigH,535,593,0.295327,0.041684,0.110934,0.041684,0.295327,0.295327,benign,benign,packed,packed,0.375660,0.226734,0.375660,0.500687,60.003893,60.003893,183.618256
p06_parser,obfuscated,tigL,2423,2785,0.253405,0.024700,0.096216,0.024700,0.253405,0.253405,benign,benign,packed,packed,0.348376,0.134450,0.348376,0.548910,180.979694,180.979694,483.852090
p06_parser,obfuscated,tigM,590,641,0.308475,0.032848,0.107114,0.032848,0.032848,0.308475,benign,benign,benign,packed,0.307643,0.113876,0.307643,0.486488,112.835045,112.835045,370.057672
p06_parser,obfuscated,tigH,634,705,0.291798,0.038083,0.104910,0.038083,0.291798,0.291798,benign,benign,packed,packed,0.437826,0.160115,0.437826,0.580144,106.037279,106.037279,243.455263
p05_vm,obfuscated,tigL,2629,2961,0.225181,0.028754,0.097812,0.028754,0.225181,0.225181,benign,benign,packed,packed,0.542621,0.264272,0.542621,0.817152,295.952787,295.952787,656.874455
p05_vm,obfuscated,tigM,733,817,0.326057,0.031386,0.109303,0.031386,0.031386,0.031386,benign,benign,benign,benign,0.418991,0.037055,0.418991,0.569732,191.482537,191.482537,393.689135
p05_vm,obfuscated,tigH,883,1025,0.289921,0.047944,0.062279,0.047944,0.289921,0.289921,benign,benign,packed,packed,0.408307,0.205019,0.408307,0.527508,73.129425,73.129425,192.550359
p01_statemachine,obfuscated,tigL,1933,2161,0.244180,0.030653,0.101820,0.030653,0.244180,0.244180,benign,benign,packed,packed,0.486902,0.166394,0.486902,0.718419,234.757176,234.757176,506.602873
p01_statemachine,obfuscated,tigM,519,561,0.308285,0.016100,0.091889,0.016100,0.016100,0.016100,benign,benign,benign,benign,0.386756,0.098327,0.386756,0.577359,182.857714,182.857714,437.740436
p01_statemachine,obfuscated,tigH,579,625,0.284974,0.048605,0.115593,0.048605,0.284974,0.284974,benign,benign,packed,packed,0.389053,0.292710,0.389053,0.501043,50.607655,50.607655,183.416723
p10_collatz,obfuscated,tigL,1405,1601,0.274021,0.034014,0.108893,0.034014,0.274021,0.274021,benign,benign,packed,packed,0.383071,0.161842,0.383071,0.594656,155.381318,155.381318,360.800943
p10_collatz,obfuscated,tigM,427,465,0.323185,0.026854,0.100837,0.026854,0.026854,0.026854,benign,benign,benign,benign,0.375459,0.038781,0.375459,0.565160,158.243068,158.243068,376.202962
p10_collatz,obfuscated,tigH,525,577,0.299048,0.041301,0.107002,0.041301,0.299048,0.299048,benign,benign,packed,packed,0.400910,0.251893,0.400910,0.538320,59.678772,59.678772,209.471884
p09_matmul,obfuscated,tigL,2327,2609,0.232488,0.023099,0.088904,0.023099,0.232488,0.232488,benign,benign,packed,packed,0.462838,0.137737,0.462838,0.718395,265.723077,265.723077,566.431761
p09_matmul,obfuscated,tigM,725,785,0.325517,0.023395,0.113173,0.023395,0.023395,0.023395,benign,benign,benign,benign,0.310096,-0.027200,0.310096,0.517335,149.647756,149.647756,418.392772
p09_matmul,obfuscated,tigH,788,881,0.291878,0.041481,0.107838,0.041481,0.291878,0.291878,benign,benign,packed,packed,0.431638,0.142237,0.431638,0.548390,67.563330,67.563330,179.135725
p12_modpow,obfuscated,tigL,1995,2193,0.245614,0.015359,0.081137,0.015359,0.245614,0.245614,benign,benign,packed,packed,0.442679,0.125098,0.442679,0.688072,236.577631,236.577631,585.970687
p12_modpow,obfuscated,tigM,660,721,0.303030,0.023973,0.089113,0.023973,0.303030,0.303030,benign,benign,packed,packed,0.659223,0.176434,0.659223,0.866743,211.626477,211.626477,505.646934
p12_modpow,obfuscated,tigH,565,625,0.299115,0.044148,0.096451,0.044148,0.299115,0.299115,benign,benign,packed,packed,0.346692,0.290550,0.346692,0.480801,75.612462,75.612462,250.540808
p08_binsearch,obfuscated,tigL,2008,2257,0.254482,0.033439,0.099243,0.033439,0.254482,0.254482,benign,benign,packed,packed,0.468914,0.159314,0.468914,0.705694,280.301589,280.301589,599.790963
p08_binsearch,obfuscated,tigM,536,577,0.309701,0.031602,0.107550,0.031602,0.309701,0.309701,benign,benign,packed,packed,0.365991,0.239985,0.365991,0.540356,127.894459,127.894459,377.380713
p08_binsearch,obfuscated,tigH,636,705,0.289308,0.040425,0.089071,0.040425,0.289308,0.289308,benign,benign,packed,packed,0.393080,0.228496,0.393080,0.529223,103.565381,103.565381,247.705325
p07_crc,obfuscated,tigL,1560,1745,0.263462,0.027947,0.104149,0.027947,0.263462,0.263462,benign,benign,packed,packed,0.440267,0.145862,0.440267,0.656854,186.281192,186.281192,450.964428
p07_crc,obfuscated,tigM,457,497,0.330416,0.030303,0.100315,0.030303,0.330416,0.330416,benign,benign,packed,packed,0.663390,0.310471,0.663390,0.833392,180.524591,180.524591,385.751704
p07_crc,obfuscated,tigH,502,545,0.298805,0.071844,0.099191,0.071844,0.298805,0.298805,benign,benign,packed,packed,0.403045,0.151281,0.403045,0.547137,102.165688,102.165688,269.561809
