name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O2_unlink,benign,clean,14590,15964,0.276971,0.003576,0.003576,6.181740,benign,benign,benign,benign,benign,0.689159,0.094479,0.689159,0.974260,469.580066,469.580066,790.200882
gcc_coreutils_64_O2_runcon,benign,clean,15837,17468,0.279409,0.003529,0.003529,6.204043,benign,benign,benign,benign,benign,0.666872,0.078084,0.666872,0.945128,496.933391,496.933391,814.766259
icc_coreutils_64_O2_chroot,benign,clean,17356,19116,0.280767,0.002187,0.002187,6.215405,benign,benign,benign,benign,benign,0.688354,0.077683,0.688354,0.967842,487.467825,487.467825,808.206695
icc_coreutils_64_O1_sha384sum,benign,clean,33619,36204,0.281954,0.001401,0.001401,6.166215,packed,packed,benign,benign,benign,0.575200,0.040413,0.575181,0.864509,425.368039,425.352217,801.890178
icc_coreutils_64_O1_shred,benign,clean,26752,28860,0.273512,0.001874,0.001874,6.182940,packed,packed,benign,benign,benign,0.608171,0.034506,0.607550,0.903403,438.982354,438.458649,805.627574
icc_coreutils_64_O3_touch,benign,clean,42929,47004,0.261408,0.002872,0.002872,6.291241,benign,benign,benign,benign,benign,0.664198,0.103811,0.664198,0.952962,450.177867,450.177867,789.015243
desync_coreutils_64_O0_logname,obfuscated,pilot,37038,40418,0.293077,0.051452,0.028799,6.012177,packed,benign,obfuscated,obfuscated,obfuscated,21.961265,0.159419,21.961265,22.255730,753.869070,753.869070,1089.241538
desync_coreutils_64_O0_logname,obfuscated,d1_med,50633,55506,0.292240,0.065805,0.016248,6.109685,packed,packed,obfuscated,obfuscated,obfuscated,28.924116,0.181606,28.924108,29.214536,824.920098,824.909580,1160.886900
desync_coreutils_64_O0_logname,obfuscated,d2_heavy,118573,128978,0.277888,0.100661,0.017485,6.273546,packed,packed,obfuscated,obfuscated,obfuscated,43.923278,0.208761,43.923082,44.213087,986.062881,985.897852,1323.490769
desync_coreutils_64_O0_logname,obfuscated,d3_max,126777,137666,0.254936,0.124241,0.040921,6.611280,packed,packed,obfuscated,obfuscated,obfuscated,45.511459,0.220661,45.502274,45.807532,1036.754097,1029.302194,1371.691896
desync_coreutils_64_O0_runcon,obfuscated,pilot,39491,43106,0.292928,0.052355,0.027261,6.046622,benign,benign,obfuscated,obfuscated,obfuscated,21.956092,0.163940,21.956092,22.249865,756.564728,756.564728,1089.294619
desync_coreutils_64_O0_runcon,obfuscated,d1_med,54456,59650,0.292511,0.067471,0.016576,6.108841,packed,packed,obfuscated,obfuscated,obfuscated,27.475238,0.166264,27.475236,27.770040,826.707929,826.705853,1159.093038
desync_coreutils_64_O0_runcon,obfuscated,d2_heavy,127801,138994,0.278480,0.101281,0.018158,6.290844,packed,packed,obfuscated,obfuscated,obfuscated,44.900905,0.210707,44.900642,45.185437,996.262847,996.028802,1333.817261
desync_coreutils_64_O0_runcon,obfuscated,d3_max,136665,148386,0.255303,0.122931,0.039955,6.539158,packed,packed,obfuscated,obfuscated,obfuscated,43.699582,0.219939,43.689623,43.999183,1019.312924,1012.739743,1353.190976
desync_coreutils_64_O0_make-prime-list,obfuscated,d1_med,6494,7128,0.295504,0.060176,0.021762,6.011465,benign,packed,obfuscated,obfuscated,obfuscated,31.312056,0.194377,31.312056,31.599521,850.988183,850.988183,1190.379278
desync_coreutils_64_O0_make-prime-list,obfuscated,d2_heavy,14593,15816,0.277393,0.105239,0.036873,6.222478,packed,packed,obfuscated,obfuscated,obfuscated,17.277686,0.226995,17.277664,17.557312,1087.248712,1087.228039,1421.349344
desync_coreutils_64_O0_make-prime-list,obfuscated,d3_max,16435,17816,0.249407,0.125543,0.044468,6.492326,packed,packed,obfuscated,obfuscated,obfuscated,23.662645,0.221888,18.747584,46.667377,1043.500573,1033.279190,1377.390878
desync_coreutils_64_O0_factor,obfuscated,pilot,176711,194018,0.291063,0.050558,0.026650,6.086423,benign,benign,obfuscated,obfuscated,obfuscated,25.781015,0.180687,25.781015,26.056148,748.693273,748.693273,1087.444588
desync_coreutils_64_O0_od,obfuscated,pilot,184624,203442,0.276253,0.050549,0.025228,6.186649,benign,benign,obfuscated,obfuscated,obfuscated,21.196562,0.179429,21.196562,21.464445,735.483621,735.483621,1056.392349
desync_coreutils_64_O0_env,obfuscated,pilot,55432,60866,0.290266,0.051258,0.026737,6.037310,benign,benign,obfuscated,obfuscated,obfuscated,24.678791,0.169004,24.678791,24.961368,775.025339,775.025339,1111.604421
desync_coreutils_64_O0_env,obfuscated,d1_med,76197,83650,0.290353,0.068243,0.012490,6.137333,packed,packed,obfuscated,obfuscated,obfuscated,32.597818,0.188725,32.597816,32.874461,847.991722,847.989988,1185.557176
desync_coreutils_64_O0_ln,obfuscated,pilot,97707,107522,0.290399,0.052484,0.025109,6.079331,benign,benign,obfuscated,obfuscated,obfuscated,26.923179,0.183808,26.923179,27.197869,786.353262,786.353262,1122.417831
desync_coreutils_64_O0_ln,obfuscated,d1_med,131592,145266,0.289243,0.068581,0.012016,6.166534,packed,packed,obfuscated,obfuscated,obfuscated,33.095440,0.185873,33.095439,33.378359,870.496783,870.494487,1204.421968
desync_coreutils_64_O0_nl,obfuscated,pilot,50635,55170,0.290629,0.054781,0.024716,6.037030,benign,benign,obfuscated,obfuscated,obfuscated,23.638695,0.167948,23.638695,23.927300,778.861340,778.861340,1114.915063
desync_coreutils_64_O0_nl,obfuscated,d1_med,69168,75714,0.290221,0.068723,0.013906,6.098812,packed,packed,obfuscated,obfuscated,obfuscated,32.189135,0.187996,32.189132,32.479432,863.689024,863.685459,1201.330018
desync_coreutils_64_O0_vdir,obfuscated,pilot,209495,229506,0.288250,0.049946,0.027956,6.089434,packed,packed,obfuscated,obfuscated,obfuscated,23.526381,0.177014,23.526379,23.804294,740.079163,740.078027,1071.867931
desync_coreutils_64_O0_pr,obfuscated,pilot,107648,117730,0.288579,0.050625,0.027458,6.068819,packed,packed,obfuscated,obfuscated,obfuscated,23.701647,0.183605,23.701647,23.980919,754.227455,754.227264,1081.921779
desync_coreutils_64_O0_nproc,obfuscated,pilot,41554,45218,0.293377,0.051022,0.028693,6.066488,benign,benign,obfuscated,obfuscated,obfuscated,23.463287,0.173784,23.463287,23.756998,785.755492,785.755492,1122.865395
desync_coreutils_64_O0_nproc,obfuscated,d1_med,56992,62370,0.292602,0.067783,0.014541,6.126789,packed,packed,obfuscated,obfuscated,obfuscated,31.657690,0.190140,31.657687,31.939959,851.523500,851.520094,1186.102358
desync_coreutils_64_O0_nproc,obfuscated,d2_heavy,132209,143730,0.278816,0.101626,0.018183,6.314196,packed,packed,obfuscated,obfuscated,obfuscated,45.523798,0.215742,45.523568,45.810057,1004.118462,1003.904230,1341.921082
desync_coreutils_64_O0_nproc,obfuscated,d3_max,141563,153698,0.255434,0.123202,0.039788,6.557337,packed,packed,obfuscated,obfuscated,obfuscated,43.605798,0.221079,43.597000,43.903792,1013.300702,1006.063960,1347.779516
dir_upx_nrv__nrv,packed,nrv,43661,50858,0.000000,0.357475,0.000000,7.710283,packed,packed,packed,packed,packed,0.996939,0.196423,0.745745,1.102013,361.919855,208.272238,435.534744
ls_upx_nrv__nrv,packed,nrv,43653,50858,0.000000,0.357658,0.000000,7.710283,packed,packed,packed,packed,packed,0.997579,0.196491,0.746435,1.102588,361.992940,208.440537,435.509733
sha256sum_upx_nrv__nrv,packed,nrv,19523,22650,0.000000,0.364428,0.000000,7.698607,packed,packed,packed,packed,packed,1.170643,0.204099,0.905190,1.286869,419.808884,257.907488,505.752326
base64_upx_nrv__nrv,packed,nrv,16654,19498,0.000000,0.363220,0.000000,7.726527,packed,packed,packed,packed,packed,1.078340,0.200008,0.818532,1.191517,407.758890,244.179483,489.248442
sha256sum_upx_lzma__lzma,packed,lzma,18307,20955,0.000000,0.376896,0.000000,7.846364,packed,packed,packed,packed,packed,1.132377,0.187630,0.830048,1.246275,413.338629,225.374797,492.981036
du_upx_nrv__nrv,packed,nrv,41659,48434,0.000000,0.362906,0.000000,7.757852,packed,packed,packed,packed,packed,1.052156,0.210597,0.785039,1.160246,385.828442,226.925834,465.109865
base64_upx_lzma__lzma,packed,lzma,16137,18443,0.000000,0.371134,0.000000,7.835292,packed,packed,packed,packed,packed,1.083181,0.185167,0.799444,1.197895,371.939096,198.190738,453.216961
dir_upx_lzma__lzma,packed,lzma,38341,43939,0.000000,0.375994,0.000000,7.848441,packed,packed,packed,packed,packed,0.981954,0.184954,0.686400,1.093642,373.841309,182.544751,452.122930
p05_vm_baseline,benign,vmlegit,577,641,0.322357,0.041464,0.041464,5.954572,benign,benign,benign,benign,benign,0.511007,0.017808,0.511007,0.650326,234.609052,234.609052,395.945183
p05_vm_virt,benign,vmlegit,2630,2961,0.225095,0.030254,0.030254,5.364217,benign,benign,packed,packed,benign,0.491396,0.188375,0.491396,0.748240,259.966944,259.966944,598.919000
vmbig,benign,vmlegit,1787,2065,0.304980,0.041634,0.041634,6.060316,benign,benign,packed,packed,benign,0.515323,0.129709,0.515323,0.680728,240.520010,240.520010,423.107406
